Hours_Worked,Sleep_Hours,Bugs,Deadline_Days,Coffee_Cups,Meetings,Interruptions,Experience_Years,Code_Complexity,Remote_Work,Stress_Level,,,,,,,,,,,,,,
8,6,44,43,0,14,5,Senior,Low,Yes,73.9035288,,,,,,,,,,,,,,
6,5,43,50,7,15,8,Senior,Low,No,100,,,,,,,,,,,,,,
10,3,4,29,4,9,3,Mid,Medium,No,100,,,,,,,,,,,,,,
8,3,5,37,1,15,7,Junior,High,No,100,,,,,,,,,,,,,,
12,4,25,33,1,11,10,Junior,Low,Yes,100,,,,,,,,,,,,,,
10,5,3,11,5,16,3,Mid,Medium,No,100,,,,,,,,,,,,,,
5,6,18,18,10,15,1,Senior,Low,Yes,19.99258748,,,,,,,,,,,,,,
7,7,19,36,8,11,9,Senior,High,Yes,66.31485067,,,,,,,,,,,,,,
12,7,32,43,0,7,10,Junior,Medium,No,82.83258236,,,,,,,,,,,,,,
15,6,19,58,5,19,8,Senior,High,No,100,,,,,,,,,,,,,,
5,8,48,58,8,2,4,Junior,Low,Yes,21.96896308,,,,,,,,,,,,,,
13,4,11,48,7,15,3,Mid,High,Yes,100,,,,,,,,,,,,,,
12,7,46,60,10,12,1,Senior,High,No,51.24682386,,,,,,,,,,,,,,
13,5,0,16,5,18,0,Senior,Medium,No,56.50747134,,,,,,,,,,,,,,
8,4,25,9,2,7,10,Mid,High,No,100,,,,,,,,,,,,,,
5,5,13,56,7,4,6,Mid,Medium,Yes,49.83591959,,,,,,,,,,,,,,
7,3,37,54,8,19,5,Mid,Medium,Yes,100,,,,,,,,,,,,,,
15,4,36,48,0,7,1,Senior,Medium,Yes,100,,,,,,,,,,,,,,
15,7,10,46,8,11,7,Junior,Medium,Yes,84.21793378,,,,,,,,,,,,,,
10,4,35,11,5,0,10,Senior,Low,Yes,100,,,,,,,,,,,,,,
7,10,,58,3,20,7,Junior,Low,,76.83,,,,,,,,,,,,,,
15,4,12,15,5,20,3,Senior,High,No,100,,,,,,,,,,,,,,
11,4,42,23,3,19,7,Mid,Low,No,100,,,,,,,,,,,,,,
6,8,2,18,0,5,6,Mid,Medium,Yes,8.771805621,,,,,,,,,,,,,,
4,4,32,7,9,17,4,Mid,High,Yes,100,,,,,,,,,,,,,,
7,5,5,30,7,7,9,Mid,High,No,61.33021512,,,,,,,,,,,,,,
5,3,49,20,1,6,9,Mid,Medium,No,100,,,,,,,,,,,,,,
11,6,9,16,0,0,7,Senior,Medium,No,47.34779152,,,,,,,,,,,,,,
7,4,4,22,1,20,8,Mid,Low,No,100,,,,,,,,,,,,,,
5,7,22,36,0,15,4,Mid,Low,Yes,39.95452703,,,,,,,,,,,,,,
9,4,9,53,0,11,9,Senior,Medium,No,100,,,,,,,,,,,,,,
9,7,43,15,8,5,4,Junior,High,Yes,62.27179859,,,,,,,,,,,,,,
13,5,1,5,0,19,1,Junior,Low,No,97.55674537,,,,,,,,,,,,,,
7,7,12,7,3,1,4,Junior,Medium,No,7.775087427,,,,,,,,,,,,,,
9,6,39,24,9,13,2,Senior,Medium,No,72.90534821,,,,,,,,,,,,,,
5,3,1,17,5,3,6,Mid,Medium,Yes,100,,,,,,,,,,,,,,
13,7,19,24,6,0,9,Mid,High,Yes,47.21295548,,,,,,,,,,,,,,
15,7,0,11,1,17,4,Mid,Low,No,50.6975534,,,,,,,,,,,,,,
5,3,36,14,5,12,7,Mid,Low,Yes,100,,,,,,,,,,,,,,
13,6,8,58,6,1,0,Mid,Low,Yes,55.00292495,,,,,,,,,,,,,,
,6,4,,8,2,7,Junior,High,No,65.03,,,,,,,,,,,,,,
7,4,16,25,9,8,2,Senior,High,No,100,,,,,,,,,,,,,,
11,7,8,40,9,20,2,Senior,Medium,No,66.97348577,,,,,,,,,,,,,,
7,,30,59,6,13,1,Senior,High,No,55.79,,,,,,,,,,,,,,
10,3,10,44,1,1,8,Senior,High,Yes,100,,,,,,,,,,,,,,
15,5,14,25,1,8,4,Junior,Low,Yes,95.24484794,,,,,,,,,,,,,,
12,3,23,46,9,0,8,Senior,Medium,Yes,100,,,,,,,,,,,,,,
11,5,37,31,6,10,8,Junior,Medium,No,100,,,,,,,,,,,,,,
8,6,34,9,0,2,0,Junior,Low,No,32.97314413,,,,,,,,,,,,,,
5,4,29,15,7,19,1,Senior,High,Yes,100,,,,,,,,,,,,,,
8,3,30,6,10,3,4,Senior,High,No,100,,,,,,,,,,,,,,
11,8,48,16,2,17,3,Senior,Medium,No,72.04133526,,,,,,,,,,,,,,
8,6,39,58,3,3,3,Mid,High,,77.79,,,,,,,,,,,,,,
13,7,4,22,10,5,9,Mid,Medium,Yes,55.31686035,,,,,,,,,,,,,,
12,6,43,25,5,2,8,Senior,High,Yes,61.75907705,,,,,,,,,,,,,,
15,3,49,20,8,10,6,Mid,Medium,No,100,,,,,,,,,,,,,,
15,7,13,21,5,14,5,Mid,Low,No,81.12277153,,,,,,,,,,,,,,
15,3,10,57,8,4,6,Senior,Medium,Yes,100,,,,,,,,,,,,,,
12,5,8,6,6,19,0,Senior,Medium,No,90.25826063,,,,,,,,,,,,,,
4,3,33,13,8,9,0,Senior,Low,No,100,,,,,,,,,,,,,,
12,8,11,14,1,11,7,Mid,High,Yes,73.97692874,,,,,,,,,,,,,,
10,3,34,52,7,14,1,Senior,High,Yes,100,,,,,,,,,,,,,,
12,3,34,6,7,16,9,Mid,High,No,100,,,,,,,,,,,,,,
11,8,0,8,1,9,10,Mid,Medium,No,74.26757028,,,,,,,,,,,,,,
4,6,39,50,3,5,8,Junior,Medium,No,33.15029875,,,,,,,,,,,,,,
15,3,21,47,10,17,6,Senior,Low,Yes,100,,,,,,,,,,,,,,
11,8,28,7,6,12,5,Junior,Low,No,80.4811888,,,,,,,,,,,,,,
11,7,7,49,10,2,0,Mid,Medium,No,40.88391007,,,,,,,,,,,,,,
14,5,10,58,3,9,0,Mid,Medium,Yes,75.72521828,,,,,,,,,,,,,,
6,5,40,22,3,13,1,Junior,High,Yes,53.43775292,,,,,,,,,,,,,,
4,3,36,28,5,5,5,Mid,Medium,No,100,,,,,,,,,,,,,,
11,6,13,17,9,2,5,Senior,Medium,Yes,65.01127639,,,,,,,,,,,,,,
6,6,29,30,5,15,1,Mid,Low,Yes,20.41778057,,,,,,,,,,,,,,
6,7,34,29,9,6,0,Mid,Medium,No,11.80900921,,,,,,,,,,,,,,
4,3,20,51,2,19,9,Junior,Medium,Yes,100,,,,,,,,,,,,,,
14,5,36,38,8,13,4,Mid,Low,Yes,97.85272918,,,,,,,,,,,,,,
8,6,4,34,9,8,4,Mid,High,No,40.44911938,,,,,,,,,,,,,,
13,3,18,17,10,14,1,Junior,Low,Yes,100,,,,,,,,,,,,,,
10,6,13,58,1,20,5,Junior,Medium,No,100,,,,,,,,,,,,,,
13,8,25,41,5,2,8,Senior,Medium,No,64.74321572,,,,,,,,,,,,,,
12,6,3,38,6,1,1,Junior,High,Yes,50.38135902,,,,,,,,,,,,,,
15,5,24,16,8,1,9,Junior,Medium,Yes,87.61320673,,,,,,,,,,,,,,
10,4,44,13,2,2,1,Senior,Medium,Yes,100,,,,,,,,,,,,,,
12,7,41,30,9,17,2,Mid,High,No,60.49413301,,,,,,,,,,,,,,
11,7,24,23,2,13,6,Senior,Medium,Yes,85.70304282,,,,,,,,,,,,,,
15,5,17,34,6,19,5,Junior,Medium,No,100,,,,,,,,,,,,,,
5,6,39,43,3,17,7,Senior,High,Yes,83.50387953,,,,,,,,,,,,,,
4,3,7,59,7,9,7,Junior,Low,Yes,100,,,,,,,,,,,,,,
10,6,38,44,6,1,5,Senior,Medium,Yes,64.0870205,,,,,,,,,,,,,,
10,5,39,33,4,0,10,Senior,Low,No,84.68995233,,,,,,,,,,,,,,
11,7,13,2,6,3,9,Senior,Medium,Yes,100,,,,,,,,,,,,,,
8,6,31,36,2,13,2,Senior,High,Yes,50.71228269,,,,,,,,,,,,,,
6,7,50,42,1,0,2,Senior,Low,No,16.57014766,,,,,,,,,,,,,,
15,3,37,39,5,13,0,Senior,High,No,100,,,,,,,,,,,,,,
11,7,32,25,1,15,6,Junior,Low,Yes,91.16935418,,,,,,,,,,,,,,
9,7,22,54,2,13,4,Junior,Medium,Yes,70.45541294,,,,,,,,,,,,,,
14,4,14,22,5,19,3,Mid,Low,Yes,100,,,,,,,,,,,,,,
6,4,32,43,4,2,9,Senior,Medium,No,100,,,,,,,,,,,,,,
4,8,24,38,7,2,3,Mid,Medium,No,4.57690681,,,,,,,,,,,,,,
6,4,16,14,8,8,3,Mid,High,No,100,,,,,,,,,,,,,,
8,7,32,55,10,5,5,Junior,High,No,46.87602061,,,,,,,,,,,,,,
6,5,46,48,2,12,7,Senior,Medium,Yes,88.39520899,,,,,,,,,,,,,,
4,7,1,3,9,20,7,Junior,High,No,100,,,,,,,,,,,,,,
8,5,13,28,2,1,4,Mid,High,No,64.52128852,,,,,,,,,,,,,,
13,5,39,21,2,7,5,Senior,Medium,No,100,,,,,,,,,,,,,,
10,4,39,24,5,20,3,Mid,Low,Yes,100,,,,,,,,,,,,,,
10,6,50,12,0,1,10,Junior,Medium,Yes,63.19734747,,,,,,,,,,,,,,
14,3,38,17,6,3,8,Senior,Medium,No,100,,,,,,,,,,,,,,
12,4,50,32,0,14,7,Junior,Low,No,100,,,,,,,,,,,,,,
13,4,5,15,4,3,9,Junior,High,Yes,100,,,,,,,,,,,,,,
13,6,5,44,9,12,9,Senior,High,Yes,100,,,,,,,,,,,,,,
15,3,2,41,7,11,0,Junior,Medium,Yes,100,,,,,,,,,,,,,,
6,7,6,43,3,12,1,Mid,Medium,Yes,17.58811844,,,,,,,,,,,,,,
10,8,50,1,4,13,8,Senior,High,Yes,100,,,,,,,,,,,,,,
4,8,7,54,3,19,7,Mid,High,Yes,57.5265866,,,,,,,,,,,,,,
13,9,,52,2,9,9,Senior,Low,No,17.04,,,,,,,,,,,,,,
8,9,26,41,10,,9,Senior,Medium,Yes,10.59,,,,,,,,,,,,,,
7,7,41,34,3,17,2,Mid,Low,Yes,27.13303197,,,,,,,,,,,,,,
7,4,14,41,7,5,7,Senior,Medium,Yes,100,,,,,,,,,,,,,,
8,3,46,33,1,10,0,Junior,Medium,No,100,,,,,,,,,,,,,,
10,4,28,29,0,1,9,Senior,Medium,No,100,,,,,,,,,,,,,,
10,5,32,58,2,18,3,Senior,Medium,No,100,,,,,,,,,,,,,,
14,4,29,54,8,18,2,Junior,High,No,100,,,,,,,,,,,,,,
7,4,38,12,3,4,5,Mid,Low,No,100,,,,,,,,,,,,,,
10,7,26,12,9,18,6,Senior,Medium,No,92.59455988,,,,,,,,,,,,,,
14,7,35,17,4,1,3,Senior,High,Yes,43.94653433,,,,,,,,,,,,,,
6,7,28,31,1,9,6,Mid,Medium,Yes,32.96125217,,,,,,,,,,,,,,
9,8,37,31,3,1,8,Senior,Medium,No,45.68862756,,,,,,,,,,,,,,
15,5,32,34,1,10,10,Senior,High,No,100,,,,,,,,,,,,,,
5,7,36,58,1,17,1,Senior,Medium,Yes,22.87077138,,,,,,,,,,,,,,
13,3,26,38,3,14,10,Mid,Medium,Yes,100,,,,,,,,,,,,,,
15,8,30,17,5,8,4,Junior,,Yes,13.53,,,,,,,,,,,,,,
12,8,32,45,5,8,2,Junior,Medium,Yes,56.34486255,,,,,,,,,,,,,,
8,6,3,51,6,18,4,Junior,Medium,No,67.55320102,,,,,,,,,,,,,,
9,3,21,28,9,8,2,Mid,Low,Yes,100,,,,,,,,,,,,,,
15,3,1,48,2,2,10,Senior,High,No,100,,,,,,,,,,,,,,
15,7,9,28,2,20,7,Senior,High,No,100,,,,,,,,,,,,,,
15,6,4,52,9,8,9,Senior,Low,Yes,87.8072181,,,,,,,,,,,,,,
15,6,9,43,5,13,7,Mid,Medium,Yes,87.67411192,,,,,,,,,,,,,,
7,8,32,56,2,18,7,Senior,High,No,71.52103158,,,,,,,,,,,,,,
14,6,37,15,1,6,8,Mid,High,Yes,94.15436017,,,,,,,,,,,,,,
13,5,12,55,7,15,3,Mid,High,Yes,95.89292953,,,,,,,,,,,,,,
10,7,30,43,4,15,4,Mid,Medium,No,63.67370521,,,,,,,,,,,,,,
15,6,46,46,0,0,4,Senior,Medium,Yes,59.93760004,,,,,,,,,,,,,,
12,8,35,56,2,3,7,Mid,High,No,63.03374327,,,,,,,,,,,,,,
10,5,44,9,9,3,6,Mid,Low,No,91.90502171,,,,,,,,,,,,,,
4,4,23,29,7,6,8,Senior,High,Yes,100,,,,,,,,,,,,,,
4,4,14,24,3,7,7,Mid,Low,No,100,,,,,,,,,,,,,,
12,5,28,38,6,16,1,Junior,Low,No,86.72825004,,,,,,,,,,,,,,
14,8,7,19,9,4,9,Mid,Medium,Yes,51.7982773,,,,,,,,,,,,,,
12,5,4,4,1,6,3,Mid,High,Yes,100,,,,,,,,,,,,,,
7,7,28,0,6,19,5,Junior,Medium,Yes,100,,,,,,,,,,,,,,
12,7,46,29,4,19,1,Junior,High,No,61.70800331,,,,,,,,,,,,,,
6,4,3,48,4,3,6,Senior,High,No,100,,,,,,,,,,,,,,
10,6,11,2,5,5,2,Mid,High,Yes,100,,,,,,,,,,,,,,
9,8,44,44,8,6,2,Junior,Medium,No,53.4693523,,,,,,,,,,,,,,
11,4,1,13,5,17,10,Senior,Medium,Yes,100,,,,,,,,,,,,,,
14,6,26,55,7,4,1,Senior,High,Yes,51.9819796,,,,,,,,,,,,,,
12,6,30,29,6,19,10,Senior,Medium,No,100,,,,,,,,,,,,,,
8,7,50,49,8,2,7,Senior,Low,Yes,39.98817879,,,,,,,,,,,,,,
4,3,50,3,3,6,5,Senior,Medium,No,100,,,,,,,,,,,,,,
6,3,35,17,1,13,0,Junior,High,No,100,,,,,,,,,,,,,,
13,5,35,36,6,6,0,Junior,Low,Yes,81.69368446,,,,,,,,,,,,,,
15,7,25,24,5,4,6,Senior,High,No,60.65200515,,,,,,,,,,,,,,
11,6,42,47,0,4,7,Senior,Medium,Yes,71.81735849,,,,,,,,,,,,,,
14,8,26,0,10,1,4,Senior,High,No,100,,,,,,,,,,,,,,
9,3,4,52,8,20,10,Mid,High,No,100,,,,,,,,,,,,,,
11,6,19,45,8,5,4,Junior,High,No,67.41067786,,,,,,,,,,,,,,
12,3,10,14,1,14,3,Mid,High,Yes,100,,,,,,,,,,,,,,
7,3,9,8,2,20,5,Mid,High,No,100,,,,,,,,,,,,,,
4,3,39,14,4,9,5,Mid,Low,Yes,100,,,,,,,,,,,,,,
4,8,37,48,4,6,2,Junior,Medium,No,14.38875135,,,,,,,,,,,,,,
13,7,5,56,0,4,8,Senior,High,No,58.38561724,,,,,,,,,,,,,,
,6,23,5,,14,2,Senior,Medium,No,75.25,,,,,,,,,,,,,,
7,8,7,23,7,0,10,Junior,High,Yes,3.386701741,,,,,,,,,,,,,,
15,4,22,3,7,12,6,Senior,Medium,Yes,100,,,,,,,,,,,,,,
10,6,46,11,3,20,0,Mid,Low,Yes,60.68030316,,,,,,,,,,,,,,
5,7,25,58,6,17,6,Mid,Low,Yes,57.40367199,,,,,,,,,,,,,,
6,7,45,57,10,12,4,Senior,Medium,Yes,37.49095248,,,,,,,,,,,,,,
4,7,42,36,9,20,4,Mid,Medium,No,47.16092541,,,,,,,,,,,,,,
8,7,11,60,2,20,1,Junior,High,No,30.4951119,,,,,,,,,,,,,,
4,8,25,36,5,17,3,Junior,Medium,Yes,31.04734352,,,,,,,,,,,,,,
11,7,12,42,9,4,5,Mid,High,No,53.67733224,,,,,,,,,,,,,,
4,5,39,59,9,12,9,Junior,High,No,96.24875628,,,,,,,,,,,,,,
14,6,17,5,8,3,10,Senior,Low,No,90.16711338,,,,,,,,,,,,,,
4,7,24,38,0,16,6,Senior,High,Yes,58.72759251,,,,,,,,,,,,,,
5,6,32,55,4,2,10,Junior,Low,No,32.33700903,,,,,,,,,,,,,,
5,5,46,45,3,16,4,Mid,Low,No,84.21367111,,,,,,,,,,,,,,
15,5,39,23,7,10,8,Junior,Medium,No,100,,,,,,,,,,,,,,
9,6,42,10,10,20,2,Mid,Medium,Yes,75.15900224,,,,,,,,,,,,,,
10,3,11,12,0,19,0,Senior,Medium,No,100,,,,,,,,,,,,,,
5,8,6,,5,20,6,Mid,,No,53.35,,,,,,,,,,,,,,
8,4,43,33,8,20,3,Senior,High,No,100,,,,,,,,,,,,,,
8,10,36,9,4,20,5,Mid,Medium,,25.82,,,,,,,,,,,,,,
4,3,35,24,5,3,8,Senior,High,Yes,100,,,,,,,,,,,,,,
4,3,47,6,3,1,3,Mid,Medium,Yes,100,,,,,,,,,,,,,,
6,8,3,51,8,19,1,Senior,Low,No,0.492625141,,,,,,,,,,,,,,
5,3,4,3,10,15,9,Senior,Low,No,100,,,,,,,,,,,,,,
8,7,36,58,4,17,4,Mid,Medium,Yes,67.71775906,,,,,,,,,,,,,,
15,8,7,7,4,7,2,Junior,Low,Yes,38.28825162,,,,,,,,,,,,,,
13,8,41,19,4,2,8,Junior,High,Yes,64.12842791,,,,,,,,,,,,,,
9,5,48,28,0,8,3,Junior,Medium,Yes,98.45753799,,,,,,,,,,,,,,
10,3,27,53,0,19,5,Senior,Medium,Yes,100,,,,,,,,,,,,,,
7,5,30,52,7,5,1,Senior,Medium,Yes,43.93198498,,,,,,,,,,,,,,
10,6,8,50,7,9,5,Mid,Medium,Yes,60.67650284,,,,,,,,,,,,,,
14,4,50,44,5,20,2,Senior,Medium,No,100,,,,,,,,,,,,,,
11,8,28,45,10,9,8,Junior,Low,Yes,84.96112055,,,,,,,,,,,,,,
14,6,13,9,3,12,10,Senior,High,Yes,100,,,,,,,,,,,,,,
4,6,39,42,1,16,1,Senior,Low,No,29.89524715,,,,,,,,,,,,,,
9,7,40,33,1,8,8,Junior,Medium,Yes,68.99898941,,,,,,,,,,,,,,
11,4,21,56,8,16,4,Senior,High,Yes,100,,,,,,,,,,,,,,
8,6,10,25,4,8,7,Junior,Low,No,65.21304008,,,,,,,,,,,,,,
7,6,22,40,3,8,1,Junior,Low,Yes,23.82784851,,,,,,,,,,,,,,
5,4,0,48,9,0,5,Senior,Low,No,74.16511587,,,,,,,,,,,,,,
9,4,45,57,0,1,2,Junior,Medium,No,100,,,,,,,,,,,,,,
9,6,36,2,6,15,9,Junior,High,No,100,,,,,,,,,,,,,,
14,4,20,55,2,0,4,Senior,Medium,No,100,,,,,,,,,,,,,,
4,6,25,5,5,9,7,Junior,Low,Yes,76.29849706,,,,,,,,,,,,,,
12,6,45,4,4,17,9,Mid,High,No,100,,,,,,,,,,,,,,
15,7,35,4,4,7,0,Mid,High,No,95.9565054,,,,,,,,,,,,,,
14,3,22,53,10,20,4,Mid,High,Yes,100,,,,,,,,,,,,,,
9,6,0,46,4,10,2,Mid,Medium,No,44.27546397,,,,,,,,,,,,,,
6,5,50,22,0,1,3,Mid,High,No,39.91610805,,,,,,,,,,,,,,
7,8,39,48,0,7,1,Junior,Low,No,10.91411019,,,,,,,,,,,,,,
15,3,14,8,2,7,8,Mid,Low,No,100,,,,,,,,,,,,,,
14,3,20,34,9,16,2,Mid,Medium,Yes,100,,,,,,,,,,,,,,
7,3,46,19,3,14,1,Mid,Medium,No,100,,,,,,,,,,,,,,
6,7,8,57,4,16,9,Mid,Medium,Yes,71.70785603,,,,,,,,,,,,,,
13,6,8,48,1,12,10,Senior,Medium,Yes,100,,,,,,,,,,,,,,
6,7,9,60,7,18,8,Mid,Low,No,78.08571906,,,,,,,,,,,,,,
6,6,25,58,10,4,6,Junior,High,No,23.77142498,,,,,,,,,,,,,,
7,7,40,41,10,11,5,Mid,Medium,No,45.08471895,,,,,,,,,,,,,,
8,8,38,3,,17,9,Mid,Medium,Yes,89.51,,,,,,,,,,,,,,
10,7,34,34,1,0,0,Junior,Medium,No,56.72806803,,,,,,,,,,,,,,
7,8,24,49,8,4,4,Mid,Low,Yes,16.56018455,,,,,,,,,,,,,,
12,5,25,17,1,7,10,Junior,Low,Yes,100,,,,,,,,,,,,,,
4,7,10,16,8,12,10,Senior,Low,Yes,56.16822137,,,,,,,,,,,,,,
11,8,37,23,6,7,2,Senior,Medium,No,53.39990819,,,,,,,,,,,,,,
10,4,1,2,7,10,0,Senior,Low,Yes,100,,,,,,,,,,,,,,
5,5,6,31,10,0,3,Mid,Low,No,30.46177722,,,,,,,,,,,,,,
11,7,17,34,1,12,1,Junior,Medium,No,52.07985728,,,,,,,,,,,,,,
4,3,26,37,6,18,1,Senior,High,No,100,,,,,,,,,,,,,,
14,4,33,12,5,2,2,Mid,High,No,100,,,,,,,,,,,,,,
15,4,26,55,3,16,7,Senior,High,No,100,,,,,,,,,,,,,,
12,8,16,60,6,4,7,Senior,Medium,Yes,53.13599419,,,,,,,,,,,,,,
12,4,42,46,3,19,6,Senior,Low,Yes,100,,,,,,,,,,,,,,
5,5,43,24,1,20,5,Mid,Medium,No,83.33635537,,,,,,,,,,,,,,
10,7,50,8,9,7,8,Mid,Low,Yes,80.67313678,,,,,,,,,,,,,,
13,7,23,3,6,13,3,Mid,Medium,No,100,,,,,,,,,,,,,,
6,3,24,13,7,3,0,Senior,High,No,100,,,,,,,,,,,,,,
10,8,6,36,1,10,7,Mid,Low,No,67.98104181,,,,,,,,,,,,,,
15,3,5,33,4,19,6,Senior,Medium,Yes,100,,,,,,,,,,,,,,
13,4,23,10,0,14,6,Mid,Medium,No,100,,,,,,,,,,,,,,
12,3,32,40,6,18,2,Junior,High,No,100,,,,,,,,,,,,,,
7,5,48,55,7,6,3,Mid,Medium,Yes,60.89090092,,,,,,,,,,,,,,
15,7,28,2,5,18,9,Junior,High,Yes,100,,,,,,,,,,,,,,
4,4,42,58,4,18,8,Mid,Medium,Yes,100,,,,,,,,,,,,,,
5,3,21,27,5,10,5,Senior,Medium,No,100,,,,,,,,,,,,,,
4,8,25,28,1,4,4,Mid,High,No,13.87027443,,,,,,,,,,,,,,
15,5,27,8,0,4,2,Senior,Medium,Yes,80.70122387,,,,,,,,,,,,,,
8,5,49,2,6,7,8,Mid,High,No,100,,,,,,,,,,,,,,
8,3,20,24,6,9,4,Junior,High,Yes,100,,,,,,,,,,,,,,
14,7,48,33,9,5,4,Junior,High,Yes,62.40140416,,,,,,,,,,,,,,
10,3,6,11,10,14,3,Junior,Low,No,100,,,,,,,,,,,,,,
12,4,16,41,9,15,3,Mid,Medium,No,100,,,,,,,,,,,,,,
5,,12,45,8,,4,Senior,Medium,Yes,91.31,,,,,,,,,,,,,,
12,3,19,8,1,16,0,Senior,High,Yes,100,,,,,,,,,,,,,,
4,3,18,37,4,20,4,,Low,Yes,88.03,,,,,,,,,,,,,,
6,5,40,14,1,7,6,Senior,Medium,Yes,64.8512363,,,,,,,,,,,,,,
6,3,48,39,0,7,8,Senior,Medium,Yes,100,,,,,,,,,,,,,,
6,7,19,24,9,8,2,Junior,High,Yes,14.28238041,,,,,,,,,,,,,,
7,8,21,4,7,1,1,Senior,Low,No,61.18284226,,,,,,,,,,,,,,
11,6,27,10,7,14,2,Mid,High,Yes,71.67059509,,,,,,,,,,,,,,
9,3,39,58,0,17,0,Senior,Medium,Yes,100,,,,,,,,,,,,,,
11,7,48,33,10,2,5,Mid,High,Yes,55.13849383,,,,,,,,,,,,,,
4,7,6,23,7,16,10,Mid,Medium,No,77.55100997,,,,,,,,,,,,,,
11,8,0,59,8,3,10,Junior,High,No,37.88904736,,,,,,,,,,,,,,
7,5,31,14,3,3,6,Mid,Medium,Yes,54.8206536,,,,,,,,,,,,,,
14,7,12,37,0,13,10,Senior,Low,No,100,,,,,,,,,,,,,,
